file,tappa,autore,licenza,fonte,titolo_commons
g03_t03_doune-castle_03.jpg,g3 t3 doune-castle,Bill Boaden,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Doune_Castle_-_geograph.org.uk_-_3609858.jpg,File:Doune Castle - geograph.org.uk - 3609858.jpg
g03_t04_glencoe_01.jpg,g3 t4 glencoe,"Horia Varlan from Bucharest, Romania",CC BY 2.0,https://commons.wikimedia.org/wiki/File:Glen_Coe_panoramic_image_(14697573216).jpg,File:Glen Coe panoramic image (14697573216).jpg
g03_t04_glencoe_02.jpg,g3 t4 glencoe,Gareth James,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:The_Three_Sisters,_from_Glen_Coe_-_geograph.org.uk_-_3069481.jpg","File:The Three Sisters, from Glen Coe - geograph.org.uk - 3069481.jpg"
g03_t04_glencoe_03.jpg,g3 t4 glencoe,JavierOlivares,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Glen-Coe-Pano-(1).jpg,File:Glen-Coe-Pano-(1).jpg
g03_t05_neptunes-staircase_01.jpg,g3 t5 neptunes-staircase,HaSt,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Banavie_-_Neptune%27s_Staircase_-_01.jpg,File:Banavie - Neptune's Staircase - 01.jpg
g03_t05_neptunes-staircase_02.jpg,g3 t5 neptunes-staircase,HaSt,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Banavie_-_Neptune%27s_Staircase_-_02.jpg,File:Banavie - Neptune's Staircase - 02.jpg
g03_t05_neptunes-staircase_03.jpg,g3 t5 neptunes-staircase,Colin Park,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Caledonian_Canal_above_Neptune%27s_Staircase,_Banavie_-_geograph.org.uk_-_8241438.jpg","File:Caledonian Canal above Neptune's Staircase, Banavie - geograph.org.uk - 8241438.jpg"
g03_t06_fort-william_01.jpg,g3 t6 fort-william,Bill Kasman,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Fort_William_and_Loch_Linnhe_-_geograph.org.uk_-_6623704.jpg,File:Fort William and Loch Linnhe - geograph.org.uk - 6623704.jpg
g03_t06_fort-william_02.jpg,g3 t6 fort-william,Eirian Evans,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Loche_Linnhe_near_Fort_William_-_geograph.org.uk_-_6822994.jpg,File:Loche Linnhe near Fort William - geograph.org.uk - 6822994.jpg
g03_t06_fort-william_03.jpg,g3 t6 fort-william,Andrew Tryon,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Fort_William,_Caol_and_Loch_Linnhe,_Scottish_Highlands_-_geograph.org.uk_-_6234660.jpg","File:Fort William, Caol and Loch Linnhe, Scottish Highlands - geograph.org.uk - 6234660.jpg"
g04_t01_fort-william_01.jpg,g4 t1 fort-william,Bill Kasman,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:McDonald%27s,_Fort_William_-_geograph.org.uk_-_6265066.jpg","File:McDonald's, Fort William - geograph.org.uk - 6265066.jpg"
g04_t01_fort-william_02.jpg,g4 t1 fort-william,Peter S,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Early_morning_cloud_lifting_beyond_Fort_William_town_centre_-_geograph.org.uk_-_3108540.jpg,File:Early morning cloud lifting beyond Fort William town centre - geograph.org.uk - 3108540.jpg
g04_t01_fort-william_03.jpg,g4 t1 fort-william,Peter S,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Ferry_terminal,_Fort_William_-_geograph.org.uk_-_2488253.jpg","File:Ferry terminal, Fort William - geograph.org.uk - 2488253.jpg"
g04_t02_glenfinnan-viaduct_01.jpg,g4 t2 glenfinnan-viaduct,Eric Kilby,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Glenfinnan_Viaduct_-_Jacobite_Express.jpg,File:Glenfinnan Viaduct - Jacobite Express.jpg
g04_t02_glenfinnan-viaduct_02.jpg,g4 t2 glenfinnan-viaduct,S. Perquin,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Jacobite_Steam_Train_passing_Glenfinnan_Viaduct_(2025)_(1).jpg,File:Jacobite Steam Train passing Glenfinnan Viaduct (2025) (1).jpg
g04_t02_glenfinnan-viaduct_03.jpg,g4 t2 glenfinnan-viaduct,Daniel Kraft,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Jacobite_on_Glenfinnan_Viaduct_2_20211024.jpg,File:Jacobite on Glenfinnan Viaduct 2 20211024.jpg
g04_t03_eilean-donan_01.jpg,g4 t3 eilean-donan,Alexbrn,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Eilean_Donan_castle_from_car_park.jpg,File:Eilean Donan castle from car park.jpg
g04_t03_eilean-donan_02.jpg,g4 t3 eilean-donan,Christian David,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Eilean_Donan_Castle_from_South.jpg,File:Eilean Donan Castle from South.jpg
g04_t03_eilean-donan_03.jpg,g4 t3 eilean-donan,Eusebius,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Eilean_Donan_pano.jpg,File:Eilean Donan pano.jpg
g04_t04_skye-bridge_01.jpg,g4 t4 skye-bridge,Bill Harrison,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Skye_Bridge_Hotel,_Kyle_of_Lochalsh_-_geograph.org.uk_-_8236247.jpg","File:Skye Bridge Hotel, Kyle of Lochalsh - geograph.org.uk - 8236247.jpg"
g04_t04_skye-bridge_02.jpg,g4 t4 skye-bridge,HaSt,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kyle_of_Lochalsh_-_Skye_Bridge.jpg,File:Kyle of Lochalsh - Skye Bridge.jpg
g04_t04_skye-bridge_03.jpg,g4 t4 skye-bridge,Stephen Darlington,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Kyle_of_Lochalsh_-_geograph.org.uk_-_2987982.jpg,File:Kyle of Lochalsh - geograph.org.uk - 2987982.jpg
g04_t05_portree_01.jpg,g4 t5 portree,rboed*,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Portree_Harbour,_Isle_of_Skye,_Scotland.jpg","File:Portree Harbour, Isle of Skye, Scotland.jpg"
g04_t05_portree_02.jpg,g4 t5 portree,rboed*,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Portree_harbour,_Isle_of_Skye,_Scotland_-_53731811468.jpg","File:Portree harbour, Isle of Skye, Scotland - 53731811468.jpg"
g04_t05_portree_03.jpg,g4 t5 portree,rboed*,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Portree_harbour,_Isle_of_Skye,_Scotland_-_53732030830.jpg","File:Portree harbour, Isle of Skye, Scotland - 53732030830.jpg"
g05_t02_old-man-of-storr_01.jpg,g5 t2 old-man-of-storr,rboed*,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Old_Man_of_Storr,_Isle_of_Skye,_Scotland.jpg","File:Old Man of Storr, Isle of Skye, Scotland.jpg"
g05_t02_old-man-of-storr_02.jpg,g5 t2 old-man-of-storr,rboed*,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Old_Man_of_Storr,_Isle_of_Skye,_Scotland_-_53731896764.jpg","File:Old Man of Storr, Isle of Skye, Scotland - 53731896764.jpg"
g05_t02_old-man-of-storr_03.jpg,g5 t2 old-man-of-storr,rboed*,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Old_Man_of_Storr,_Isle_of_Skye,_Scotland_-_53731987265.jpg","File:Old Man of Storr, Isle of Skye, Scotland - 53731987265.jpg"
g05_t03_kilt-rock_01.jpg,g5 t3 kilt-rock,Colin,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Panorama_of_Mealt_Waterfall_with_Kilt_Rock,_Isle_of_Skye.jpg","File:Panorama of Mealt Waterfall with Kilt Rock, Isle of Skye.jpg"
g05_t03_kilt-rock_02.jpg,g5 t3 kilt-rock,Colin,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Mealt_Waterfall_with_Kilt_Rock,_Isle_of_Skye.jpg","File:Mealt Waterfall with Kilt Rock, Isle of Skye.jpg"
g05_t03_kilt-rock_03.jpg,g5 t3 kilt-rock,Colin,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Mealt_Waterfall_with_Kilt_Rock,_Isle_of_Skye_-_2.jpg","File:Mealt Waterfall with Kilt Rock, Isle of Skye - 2.jpg"
g05_t04_quiraing_01.jpg,g5 t4 quiraing,Colin,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Quiraing,_Isle_of_Skye,_Panorama.jpg","File:Quiraing, Isle of Skye, Panorama.jpg"
g05_t04_quiraing_02.jpg,g5 t4 quiraing,Colin,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Quiraing,_Isle_of_Skye,_Panorama_BW.jpg","File:Quiraing, Isle of Skye, Panorama BW.jpg"
g05_t04_quiraing_03.jpg,g5 t4 quiraing,rboed*,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:The_Quiraing,_Isle_of_Skye,_Scotland.jpg","File:The Quiraing, Isle of Skye, Scotland.jpg"
g05_t05_fairy-glen_01.jpg,g5 t5 fairy-glen,Obibon,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Faerie_castle.jpg,File:Faerie castle.jpg
g05_t05_fairy-glen_02.jpg,g5 t5 fairy-glen,PaulT (Gunther Tschuch),CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Skye_Fairy_Glen_1.jpg,File:Skye Fairy Glen 1.jpg
g05_t05_fairy-glen_03.jpg,g5 t5 fairy-glen,PaulT (Gunther Tschuch),CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Skye_Fairy_Glen_2.jpg,File:Skye Fairy Glen 2.jpg
g06_t01_fairy-pools_01.jpg,g6 t1 fairy-pools,Balon Greyjoy,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:20210818_Fairy_Pools-9339.jpg,File:20210818 Fairy Pools-9339.jpg
g06_t01_fairy-pools_02.jpg,g6 t1 fairy-pools,Balon Greyjoy,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:20210818_Fairy_Pools-9343.jpg,File:20210818 Fairy Pools-9343.jpg
g06_t01_fairy-pools_03.jpg,g6 t1 fairy-pools,Balon Greyjoy,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:20210818_Fairy_Pools-9344.jpg,File:20210818 Fairy Pools-9344.jpg
g06_t02_talisker-distillery_01.jpg,g6 t2 talisker-distillery,August Schwerdfeger,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:Talisker_Distillery,_Skye_-_closed_on_Sunday_2017-05-21.jpg","File:Talisker Distillery, Skye - closed on Sunday 2017-05-21.jpg"
g06_t02_talisker-distillery_02.jpg,g6 t2 talisker-distillery,Reading Tom,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Stills_at_Talisker_Distillery.jpg,File:Stills at Talisker Distillery.jpg
g06_t02_talisker-distillery_03.jpg,g6 t2 talisker-distillery,Chmee2,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Talisker_Destillery_in_Carbost_2012.JPG,File:Talisker Destillery in Carbost 2012.JPG
g06_t03_dalwhinnie-distillery_01.jpg,g6 t3 dalwhinnie-distillery,Scott Cormie,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Dalwhinnie_Distillery_-_geograph.org.uk_-_5818239.jpg,File:Dalwhinnie Distillery - geograph.org.uk - 5818239.jpg
g06_t03_dalwhinnie-distillery_02.jpg,g6 t3 dalwhinnie-distillery,Scott Cormie,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Dalwhinnie_Distillery_from_the_rear_-_geograph.org.uk_-_5818147.jpg,File:Dalwhinnie Distillery from the rear - geograph.org.uk - 5818147.jpg
